 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
304,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:11097-01186,33.133,1.189,0.139,22.369,376.328,3550.939,7.046,6.726,0.832,1.083,0.924,0.900
305,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:11248-09396,14.361,1.030,0.043,13.840,3007.425,3600.582,4.164,4.164,0.942,1.083,0.924,0.943
306,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:11377-01683,18.875,1.758,0.452,16.293,536.788,3641.258,4.804,5.124,0.894,1.113,0.898,0.925
307,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:11703-11008,11.694,2.958,0.341,12.559,3524.035,3746.309,3.523,4.164,0.932,1.205,0.830,0.923
308,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:11742-08612,22.465,1.559,0.145,18.104,2755.365,3758.160,5.765,5.445,0.861,1.061,0.943,0.907
309,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:11871-04037,27.183,1.065,0.126,19.198,1290.406,3798.835,5.445,6.406,0.927,1.137,0.879,0.943
310,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:11971-04155,28.107,1.116,0.125,19.838,1327.559,3831.183,6.406,5.765,0.897,1.172,0.854,0.930
311,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:12035-05384,20.003,1.140,0.108,16.480,1721.823,3852.322,5.124,4.804,0.925,1.086,0.921,0.940
312,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:12104-08968,13.643,1.576,0.519,13.730,2870.345,3874.421,4.164,4.484,0.909,1.068,0.936,0.908
313,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:12268-13103,8.001,1.618,0.164,11.466,4195.021,3927.588,3.523,3.523,0.765,1.572,0.636,0.867
314,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:12318-03490,52.008,3.522,1.600,27.758,1113.932,3940.719,8.007,8.968,0.848,1.173,0.853,0.929
315,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:12669-02002,2.154,3.427,0.184,6.186,640.239,4056.980,2.242,1.601,0.707,2.351,0.425,0.764
